"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"CTY_S1e","NSWTrains","STH","Sydney (Central) to Griffith","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S1f","NSWTrains","STH","Sydney (Central) to Griffith","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S1g","NSWTrains","STH","Sydney (Central) to Melbourne (Southern Cross)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S1h","NSWTrains","STH","Sydney (Central) to Melbourne (Southern Cross)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S1i","NSWTrains","STH","Sydney (Central) to Melbourne (Southern Cross)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2a","NSWTrains","STH","Canberra to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2b","NSWTrains","STH","Canberra to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2c","NSWTrains","STH","Canberra to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2d","NSWTrains","STH","Griffith to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2e","NSWTrains","STH","Griffith to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2f","NSWTrains","STH","Griffith to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2g","NSWTrains","STH","Melbourne (Southern Cross) to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2h","NSWTrains","STH","Melbourne (Southern Cross) to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_S2i","NSWTrains","STH","Melbourne (Southern Cross) to Sydney (Central)","NSW TrainLink Southern Train Services","2","","F6891F","FFFFFF"
"CTY_W1a","NSWTrains","WST","Sydney (Central) to Dubbo","NSW TrainLink Western Train Services","2","","F6891F","FFFFFF"
"CTY_W1b","NSWTrains","WST","Sydney (Central) to Broken Hill","NSW TrainLink Western Train Services","2","","F6891F","FFFFFF"
"CTY_W2a","NSWTrains","WST","Dubbo to Sydney (Central)","NSW TrainLink Western Train Services","2","","F6891F","FFFFFF"
"CTY_W2b","NSWTrains","WST","Broken Hill to Sydney (Central)","NSW TrainLink Western Train Services","2","","F6891F","FFFFFF"
"ESI_1a","SydneyTrains","T4","Bondi Junction to Waterfall via City","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_1b","SydneyTrains","T4","City Circle to Waterfall","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_1c","SydneyTrains","T4","City Circle to Waterfall","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_1d","SydneyTrains","T4","Bondi Junction to Cronulla via City","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_1e","SydneyTrains","T4","City Circle to Cronulla","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_1f","SydneyTrains","T4","City Circle to Cronulla","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_2a","SydneyTrains","T4","Waterfall to Bondi Junction via City","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_2b","SydneyTrains","T4","Waterfall to City Circle ","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_2c","SydneyTrains","T4","Waterfall to City Circle ","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_2d","SydneyTrains","T4","Cronulla to Bondi Junction via City","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_2e","SydneyTrains","T4","Cronulla to City Circle ","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"ESI_2f","SydneyTrains","T4","Cronulla to City Circle ","T4 Eastern Suburbs & Illawarra Line","2","","005AA3","FFFFFF"
"HUN_1a","NSWTrains","HUN","Newcastle Interchange to Dungog","Hunter Line","2","","833134","FFFFFF"
"HUN_1b","NSWTrains","HUN","Newcastle Interchange to Scone","Hunter Line","2","","833134","FFFFFF"
"HUN_2a","NSWTrains","HUN","Dungog to Newcastle Interchange","Hunter Line","2","","833134","FFFFFF"
"HUN_2b","NSWTrains","HUN","Scone to Newcastle Interchange","Hunter Line","2","","833134","FFFFFF"
"IWL_1a","SydneyTrains","T2","City Circle to Parramatta","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1b","SydneyTrains","T2","City Circle to Parramatta","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1c","SydneyTrains","T2","City Circle to Leppington via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1d","SydneyTrains","T2","City Circle to Leppington via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1e","SydneyTrains","T2","City Circle to Leppington via Regents Park","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1f","SydneyTrains","T2","City Circle to Leppington via Regents Park","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1g","SydneyTrains","T2","Bankstown to Leppington","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1i","SydneyTrains","T2","City Circle to Campbelltown via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_1j","SydneyTrains","T2","City Circle to Campbelltown via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2a","SydneyTrains","T2","Parramatta to City Circle ","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2b","SydneyTrains","T2","Parramatta to City Circle ","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2c","SydneyTrains","T2","Leppington to City Circle via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2d","SydneyTrains","T2","Leppington to City Circle via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2e","SydneyTrains","T2","Leppington to City Circle via Regents Park","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2f","SydneyTrains","T2","Leppington to City Circle via Regents Park","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2g","SydneyTrains","T2","Leppington to Bankstown","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2i","SydneyTrains","T2","Campbelltown to City Circle via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"IWL_2j","SydneyTrains","T2","Campbelltown to City Circle via Granville","T2 Leppington & Inner West Line","2","","0098CD","FFFFFF"
"NSN_1a","SydneyTrains","T1","City to Hornsby and Berowra via Gordon","T1 North Shore Line","2","","F99D1C","FFFFFF"
"NSN_2a","SydneyTrains","T1","Berowra and Hornsby to City via Gordon","T1 North Shore Line","2","","F99D1C","FFFFFF"
"NSN_2i","SydneyTrains","T1","Berowra to Richmond via City","T1 North Shore Line","2","","F99D1C","FFFFFF"
"NSN_2k","SydneyTrains","T1","Berowra to Emu Plains via City","T1 North Shore Line","2","","F99D1C","FFFFFF"
"NTH_1a","SydneyTrains","T9","North Shore to Hornsby and Berowra via City and Strathfield","T9 Northern Line","2","","D11F2F","FFFFFF"
"NTH_1b","SydneyTrains","T9","North Shore to Hornsby and Berowra via City and Strathfield","T9 Northern Line","2","","D11F2F","FFFFFF"
"NTH_2a","SydneyTrains","T9","Berowra and Hornsby to North Shore via Strathfield and City","T9 Northern Line","2","","D11F2F","FFFFFF"
"OLY_1a","SydneyTrains","T7","Central to Olympic Park","T7 Olympic Park Line","2","","6F818E","FFFFFF"
"OLY_1b","SydneyTrains","T7","Olympic Park to Blacktown","T7 Olympic Park Line","2","","6F818E","FFFFFF"
"OLY_2a","SydneyTrains","T7","Olympic Park to Central","T7 Olympic Park Line","2","","6F818E","FFFFFF"
"OLY_2b","SydneyTrains","T7","Blacktown to Olympic Park","T7 Olympic Park Line","2","","6F818E","FFFFFF"
"RTTA_DEF","SydneyTrains","","Out Of Service","Out Of Service trips","2","","888888","FFFFFF"
"RTTA_REV","SydneyTrains","","Non Revenue","Non Revenue trips","2","","888888","FFFFFF"
"SCO_1a","NSWTrains","SCO","Bondi Junction and Central to Bomaderry ","South Coast Line","2","","005AA3","FFFFFF"
"SCO_1b","NSWTrains","SCO","Bondi Junction and Central to Port Kembla","South Coast Line","2","","005AA3","FFFFFF"
"SCO_2a","NSWTrains","SCO","Bomaderry to Central and Bondi Junction","South Coast Line","2","","005AA3","FFFFFF"
"SCO_2b","NSWTrains","SCO","Port Kembla to Central and Bondi Junction","South Coast Line","2","","005AA3","FFFFFF"
"SHL_1a","NSWTrains","SHL","Central to Campbelltown and Goulburn via Granville","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_1b","NSWTrains","SHL","Central to Campbelltown and Goulburn via Regents Park","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_1c","NSWTrains","SHL","Central to Campbelltown and Goulburn via Airport","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_1d","NSWTrains","SHL","Central to Campbelltown and Goulburn via East Hills and Sydenham","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_1e","NSWTrains","SHL","Campbelltown to Goulburn","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_2a","NSWTrains","SHL","Goulburn to Campbelltown and Central via Granville","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_2b","NSWTrains","SHL","Goulburn to Campbelltown and Central via Regents Park","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_2c","NSWTrains","SHL","Goulburn to Campbelltown and Central via Airport","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_2d","NSWTrains","SHL","Goulburn to Campbelltown and Central via East Hills and Sydenham","Southern Highlands Line","2","","00954C","FFFFFF"
"SHL_2e","NSWTrains","SHL","Goulburn to Campbelltown","Southern Highlands Line","2","","00954C","FFFFFF"
"T3_1a","SydneyTrains","T3","City Circle to Liverpool via Regents Park","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_1b","SydneyTrains","T3","City Circle to Liverpool via Regents Park","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_1c","SydneyTrains","T3","Lidcombe to Liverpool via Regents Park","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_1d","SydneyTrains","T3","Bankstown to Liverpool","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_2a","SydneyTrains","T3","Liverpool to City Circle via Regents Park","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_2b","SydneyTrains","T3","Liverpool to City Circle via Regents Park","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_2c","SydneyTrains","T3","Liverpool to Lidcombe via Regents Park","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T3_2d","SydneyTrains","T3","Liverpool to Bankstown","T3 Liverpool & Inner West Line","2","","F37021","FFFFFF"
"T6_1a","SydneyTrains","T6","Lidcombe to Bankstown","T6 Lidcombe & Bankstown Line","2","","7C3E21","FFFFFF"
"T6_1b","SydneyTrains","T6","City Circle to Bankstown","T6 Lidcombe & Bankstown Line","2","","7C3E21","FFFFFF"
"T6_1c","SydneyTrains","T6","City Circle to Bankstown","T6 Lidcombe & Bankstown Line","2","","7C3E21","FFFFFF"
"T6_2a","SydneyTrains","T6","Bankstown to Lidcombe","T6 Lidcombe & Bankstown Line","2","","7C3E21","FFFFFF"
"T6_2b","SydneyTrains","T6","Bankstown to City Circle","T6 Lidcombe & Bankstown Line","2","","7C3E21","FFFFFF"
"T6_2c","SydneyTrains","T6","Bankstown to City Circle","T6 Lidcombe & Bankstown Line","2","","7C3E21","FFFFFF"
"WST_1a","SydneyTrains","T1","City to Emu Plains","T1 Western Line","2","","F99D1C","FFFFFF"
"WST_1b","SydneyTrains","T1","City to Richmond","T1 Western Line","2","","F99D1C","FFFFFF"
"WST_2c","SydneyTrains","T1","Emu Plains to Berowra via City ","T1 Western Line","2","","F99D1C","FFFFFF"
"WST_2d","SydneyTrains","T1","Richmond to Berowra via City ","T1 Western Line","2","","F99D1C","FFFFFF"
